index,text,score,label,volcano_label,confidence_score,predicted_sentiment,predicted_confidence_score
1,亲爱的 @剧情反转王99 ，你发布的博文很受超话用户欢迎 ！快来 短剧超话 一起畅聊吧,0.995,positive,positive,0.85,positive,0.969
2,球屌！,0.436,neutral,negative,0.1,neutral,0.469
3,这剧悬疑感还是拉满的！！！,0.862,positive,positive,0.8,positive,0.776
4,又演了渣男？,0.514,neutral,neutral,0.5,neutral,0.505
5,希望巴菲特长命百岁,0.979,positive,positive,0.9,positive,0.972
6,您的homepod 咋不摆开用呢？,0.149,negative,neutral,0.5,positive,0.792
7,翻过林总2012以来的微博，看的津津有味。  可惜后来找不到了你。,0.91,positive,neutral,0.45,positive,0.97
8,巴芒组合，一代传奇。价值投资永航的明灯！,1.0,positive,positive,0.95,positive,0.966
9,英文原稿能完整抄写一遍的确骨子里的追随者,0.984,positive,neutral,0.5,positive,0.976
10,我也要潜心皈依。,0.403,neutral,neutral,0.5,positive,0.963
11,的确是一位可敬可爱的智者,0.879,positive,positive,0.95,positive,0.979
12,“追随，是最隆重的赞美”,0.984,positive,positive,0.9,positive,0.98
13,追随，是最隆重的赞美,0.984,positive,positive,0.9,positive,0.981
14,完全的信受奉行,0.474,neutral,neutral,0.5,positive,0.86
15,致敬巴菲特 。曲终人散，人生终有离别之时，last dance了。 #巴菲特今年底卸任#,1.0,positive,positive,0.7,positive,0.927
16,“追随，是最隆重的赞美”,0.984,positive,positive,0.9,positive,0.98
17,T衫的背面图案不错,0.975,positive,positive,0.75,positive,0.957
18,相约一辈子，年青时代漂亮美丽的夫人，郎才女貌，三观正值得拥有,1.0,positive,positive,0.98,positive,0.978
19,写得太棒了,0.9,positive,positive,0.99,positive,0.96
20,寻找自己钦佩的人，巴菲特和乐趣是其中之二，不分先后,1.0,positive,positive,0.85,positive,0.98
21,致敬乐趣大哥,0.935,positive,positive,0.9,positive,0.98
22,杜甫草堂和美一家,0.943,positive,neutral,0.5,positive,0.97
23,追随，是最隆重的赞美 致敬巴菲特 智慧睿智的老人,1.0,positive,positive,0.95,positive,0.982
24,写的真好,0.657,positive,positive,0.92,positive,0.965
25,乐趣老师执行力强，学得透彻！,1.0,positive,positive,0.93,positive,0.962
26,致敬巴菲特！杜莆草堂，好整洁的书架。,1.0,positive,positive,0.91,positive,0.977
27,致敬，最伟大的智者,0.929,positive,positive,0.94,positive,0.979
28,林总背影好帅！,0.764,positive,positive,0.92,positive,0.976
29,“追随，是最隆重的赞美”致敬,0.997,positive,positive,0.93,positive,0.981
